timestamp,message_type,user_id,nickname,content,user_level,giver_id,giver_nickname,gift_name,combo_count,receiver_id,receiver_nickname,like_count,like_total,member_count,follow_count,display_short,display_middle,display_long,room_total
2025-09-16T21:28:25.429029,room_stats,,,,,,,,,,,,,,,10万+,10万+,10万+在线观众,378968
2025-09-16T21:28:25.446122,gift,,,,,MS4wLjABAAAA__s-t_hST3WTIf9vFk1s0ImwfigMl87xlmLu-HrkDdk,小爸爸ღ,粉丝团灯牌,1,,,,,,,,,,
2025-09-16T21:28:25.446727,gift,,,,,MS4wLjABAAAA4WKg-xPxZegJrDS__NvdFnUf8CPLRF2-oQZauEsK1mo,小义,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:25.446826,gift,,,,,MS4wLjABAAAAjR6uzFk8Z4zmv3ZG26StnogR2oOLXO33u6wWSnOoOsw,晴宝,粉丝团灯牌,1,,,,,,,,,,
2025-09-16T21:28:25.447202,gift,,,,,MS4wLjABAAAAT-wZ7I9-NSKeo0yZ3Mr43mem2i1EmmQdhyRuqtRuVos,陈冠鱼***,为你闪耀,1,,,,,,,,,,
2025-09-16T21:28:25.447966,enter,MS4wLjABAAAAP5fg-9dUfl3gm6X2RZPMFJUrULZlPDxwfLdO8qrIXn4GVcwc9d_Fm7xrQB4u3nbN,@信❤️爷,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:25.448092,enter,MS4wLjABAAAA8PSc5uYljfvjUP6Prdd2_E8tGusZQXC0x8Dzsk2bGV8,এ᭄🐒时光荏苒༊₅₂₀,,,,,,,,,,,374178,,,,,
2025-09-16T21:28:25.448128,enter,MS4wLjABAAAA7NbErNjrhWPRoEtzfeUfzegJC02MRj_BzJfJvNOmWlw,中青年,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:25.448175,gift,,,,,MS4wLjABAAAAROYPArHfa5-T-X7bjhd2G7ZXWThVomHvriEIpQawM8oYVMbxbQgV2DwOvBCwGEMi,JZ,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:25.448214,enter,MS4wLjABAAAATf9g4VTvZoCPHO-3vC5Z0lzQxJdX6aedxaToI-1x-pM,贵州多力通,,,,,,,,,,,376250,,,,,
2025-09-16T21:28:25.449225,gift,,,,,MS4wLjABAAAArOpYSlh4M9tsn8TbCnecYmHLHIl1g13EQSdgVp-2o38,🌈许forever,你最好看,1,,,,,,,,,,
2025-09-16T21:28:25.449276,enter,MS4wLjABAAAAIZCwIVwTlDFfgHTtISaL-wMvpASa4dPzlijdWfsXbywBHg_pJi0rfBG08b8XjTqm,加快脚步追你,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:25.449316,gift,,,,,MS4wLjABAAAAyEcm0QaWDQGQVLi8hvM3xoobRgaSnLIpmRS7sYX4_1ahl40EsGdrjJrjg4h2YexS,大鹏展翅,人气票,1,,,,,,,,,,
2025-09-16T21:28:25.449365,gift,,,,,MS4wLjABAAAAerZhm55YvDir0ikB9rndv6vW3jQ2jK7F-W_p3QRxax0,军海装饰,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:25.449458,gift,,,,,MS4wLjABAAAArC9qyuAYzTYfmDUskSOj8eW-Kac8gl7ewn5QRSsrLDo,豹哥   1999(大美曹县农民大舞台）,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:25.449812,gift,,,,,MS4wLjABAAAAwKtk3eto7aUXK23ZwEl0-WqsOJ9xpc30tSnAaBnTvN0,柔情💐似水🥀4457,小心心,26,,,,,,,,,,
2025-09-16T21:28:25.455510,gift,,,,,MS4wLjABAAAAehRjvKddfv-Mjh_-T3OT-KIVsRHAktEIbeMw-RJsKr7uoOEOkFaaysMEN-wLFAIt,港姐朱朱¹⁰¹⁷,小心心,497,,,,,,,,,,
2025-09-16T21:28:25.455811,gift,,,,,MS4wLjABAAAAkT0-v075L6aZX2ipw-3Sp_ZXkMXa65lGz71M2-UuUDE,大海捞汁,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:25.455846,message,MS4wLjABAAAAjlG5fRfrt8peDxgA06c2-21N7l3620y4nve9dK-QyBJQHGypWTLzDxa9vzRaddev,人生如戏,小光头过年了,,,,,,,,,,,,,,,
2025-09-16T21:28:25.455882,gift,,,,,MS4wLjABAAAALdWAe-sWzVmHsDZY-SdRmApThqJAXxMPRUW2K75yTwk,奋斗的搬砖人,粉丝团灯牌,1,,,,,,,,,,
2025-09-16T21:28:25.456897,gift,,,,,MS4wLjABAAAAdk-MO2d8slvO7SEDfpzfmWkOUmMaWqQpRnoeiUdKMQ-pqm2zbe4WNnOwBsRnJI8W,空城念旧人,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:25.456948,message,MS4wLjABAAAAaMNcXVQ48m8oSUS7YpVNngia6G8_cQH_Rs_k3T0sZAU,戏如人生,支持一号,,,,,,,,,,,,,,,
2025-09-16T21:28:25.456977,enter,MS4wLjABAAAAhf7wT_BTnVXtCu9RHBpYey0ScAkRJWMFJNXg98Zc_LE,Zhao,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:25.456996,enter,MS4wLjABAAAA32oBZkXdlI6E0EMCsGGKXRGcRRFg2cFLE8LKt4CK8f0,Qiᴗanᥫᩣ,,,,,,,,,,,377035,,,,,
2025-09-16T21:28:25.457024,gift,,,,,MS4wLjABAAAAx7YpmtQRXl4DiqHeB5yB6Y1fPcP4MfGCgrqjQAIsw3c,狼哥（1909）,粉丝团灯牌,1,,,,,,,,,,
2025-09-16T21:28:25.457106,gift,,,,,MS4wLjABAAAAJvq3XubRVFO3s38qJ598QE6VulX-6z58rLLL6qPghcvdx9rLMFz7wrM0ftRKjQYG,有你很幸福,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:25.457168,enter,MS4wLjABAAAApGKzTe6rAfMqdZYBSClVkwlBjHZVD9hs_mzB0nm5d1M,爱自己❤,,,,,,,,,,,376250,,,,,
2025-09-16T21:28:25.457192,gift,,,,,MS4wLjABAAAAbo8IL2ekGsjQVevSOuna05uKDIdxXTUIj2BKMKOx7L0,《光芒万张》,人气票,1,,,,,,,,,,
2025-09-16T21:28:25.457212,enter,MS4wLjABAAAAY3qS7794P-s3kpgYy4GGSwhLl0GVDkucrmWZ46swZAY,谁的年少不轻狂,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:25.457235,gift,,,,,MS4wLjABAAAAehRjvKddfv-Mjh_-T3OT-KIVsRHAktEIbeMw-RJsKr7uoOEOkFaaysMEN-wLFAIt,港姐朱朱¹⁰¹⁷,小心心,498,,,,,,,,,,
2025-09-16T21:28:25.457643,gift,,,,,MS4wLjABAAAAB1muLdcIQAGEVK4fuyFwsEB3Q0cv87omCMKSe7K_VEU,坚持下去,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:25.457668,gift,,,,,MS4wLjABAAAA-GdyEQ785reh3bz7h9pHG6rjc3yFF-6W-ADE054T0Wo,看世界鱼🐟鱼🐟🐟,小心心,2,,,,,,,,,,
2025-09-16T21:28:26.118919,gift,,,,,MS4wLjABAAAAwKtk3eto7aUXK23ZwEl0-WqsOJ9xpc30tSnAaBnTvN0,柔情💐似水🥀4457,小心心,30,,,,,,,,,,
2025-09-16T21:28:26.118979,gift,,,,,MS4wLjABAAAAGmL-zSDUGvWid7kHXmI1Poofwfhsah9WsPRrdRGbzH0,骏恒,粉丝团灯牌,1,,,,,,,,,,
2025-09-16T21:28:26.119032,gift,,,,,MS4wLjABAAAA7U2no3ilJr0x_HFVjAR6i1AK2j12Gf0uc3fzyLe39bY,晨雾拒私聊,粉丝团灯牌,1,,,,,,,,,,
